n,c,s,trial
4000,6544629,3356087,10
5000,9912720,5071561,10
6000,14458851,7426734,10
7000,19735733,10110248,10
8000,25758126,13191613,10
9000,32441886,16539996,10
10000,40675798,20825731,10
11000,48493497,24860041,10
12000,57607746,29524263,10
13000,67707887,34794031,10
14000,78847410,40375400,10
15000,90623826,46476819,10
16000,103289655,52803728,10
17000,117162015,59937159,10
18000,129406684,66124926,10
19000,144782957,74025460,10
20000,160509329,82154738,10
21000,177073949,90652335,10
22000,195764395,100316414,10
23000,212231789,108894374,10
24000,232520716,119093798,10
25000,251818966,128992288,10
26000,276175890,141481347,10
27000,291682929,149464964,10
28000,314712767,161388259,10
29000,339811333,174027966,10
30000,364762626,186738170,10
31000,388157079,198916255,10
32000,413091479,211171766,10
33000,438797596,224604035,10
34000,464439473,237947561,10
35000,497418202,255011865,10
36000,523969240,268651405,10
37000,552710865,283094433,10
38000,578296542,296542902,10
39000,616421848,315394295,10
40000,645243886,330525882,10
41000,676862479,346568368,10
42000,710831151,364128529,10
43000,744577266,381591293,10
44000,779854318,399857995,10
45000,817040823,418731648,10
46000,851235825,435925321,10
47000,889471578,455861181,10
48000,929664292,476200531,10
49000,967219686,494769224,10
50000,1003452966,514034231,10
