n,c,s,trial
8000,23236,8469,16
9000,25092,9205,16
10000,26537,10111,16
11000,38097,11094,16
12000,41292,12078,16
13000,41135,13425,16
14000,42372,14241,16
15000,40186,15536,16
16000,36408,16058,16
17000,56642,17304,16
18000,65391,18495,16
19000,55712,19335,16
20000,57252,21208,16
21000,70921,21719,16
22000,74265,23893,16
23000,68742,23957,16
24000,77409,24665,16
25000,59919,25517,16
26000,63796,26598,16
27000,80965,27394,16
28000,95602,28227,16
29000,102371,29662,16
30000,96579,30194,16
31000,112135,33010,16
32000,91886,31887,16
33000,99785,33259,16
34000,94087,34086,16
35000,124960,36440,16
36000,105899,36784,16
37000,95794,38538,16
38000,109509,39142,16
39000,102551,40589,16
40000,148244,40047,16
41000,114945,41190,16
42000,151118,42209,16
43000,143816,43080,16
44000,135671,45025,16
45000,126648,45052,16
46000,160560,46079,16
47000,110568,47287,16
48000,127323,48603,16
49000,113077,49444,16
50000,158632,50678,16
1000,2859,1017,17
2000,5638,2094,17
3000,8486,3097,17
4000,12446,4038,17
5000,17853,5710,17
6000,19432,6115,17
7000,22510,7107,17
8000,19160,8063,17
9000,21499,9026,17
10000,31048,10296,17
11000,33938,11525,17
12000,34589,12255,17
13000,39067,13450,17
14000,46029,14457,17
15000,48543,15492,17
16000,39286,16185,17
17000,45086,17093,17
18000,58086,21452,17
19000,44952,19223,17
20000,59042,24027,17
21000,65054,22200,17
22000,69596,22511,17
23000,54175,23071,17
24000,67494,24905,17
25000,64807,25329,17
26000,96776,26987,17
27000,91040,27563,17
28000,78264,28219,17
29000,95794,29507,17
30000,80593,30743,17
31000,98366,32251,17
32000,87491,32760,17
33000,107404,33259,17
34000,130317,38380,17
35000,113106,35126,17
36000,121670,37273,17
37000,112035,38163,17
38000,96758,38399,17
39000,101641,40244,17
40000,94185,40250,17
41000,98708,41196,17
42000,125117,43459,17
43000,118844,43135,17
44000,130621,44951,17
45000,161643,46252,17
46000,133970,46836,17
47000,132766,47469,17
48000,124280,48299,17
49000,172676,50153,17
50000,156958,50227,17
1000,2716,1034,18
2000,5428,1977,18
3000,7438,3192,18
4000,9955,4074,18
5000,12268,5117,18
6000,21338,6030,18
7000,20823,7077,18
8000,25052,8027,18
9000,27757,9034,18
10000,32482,10132,18
11000,34876,11024,18
12000,30554,12049,18
13000,38241,13463,18
14000,40940,14509,18
15000,51043,15212,18
16000,50124,16099,18
17000,56609,18079,18
18000,49941,19087,18
19000,61356,19234,18
20000,64010,21047,18
21000,66066,21464,18
22000,74095,22979,18
23000,64388,23506,18
24000,74975,24689,18
25000,78973,25526,18
26000,87400,26296,18
27000,81712,27491,18
28000,69646,28166,18
29000,91400,30678,18
30000,94850,30187,18
31000,97757,31650,18
32000,97542,32251,18
33000,89444,33418,18
34000,119553,38520,18
35000,96131,35014,18
36000,83813,36347,18
37000,106751,37122,18
38000,109243,39174,18
39000,139149,41086,18
40000,97453,41071,18
41000,110380,41336,18
42000,101082,42783,18
43000,127814,43355,18
44000,125780,44323,18
45000,135788,44993,18
46000,164682,46184,18
47000,130717,48099,18
48000,131706,50981,18
49000,132094,49277,18
50000,139933,50834,18
1000,3578,1068,19
2000,6532,2094,19
3000,10952,3478,19
4000,14352,4206,19
5000,13551,5004,19
6000,19578,6063,19
7000,18702,7027,19
8000,25456,8142,19
9000,24139,9323,19
10000,28019,10134,19
11000,33272,10984,19
12000,34600,12044,19
13000,44524,13052,19
14000,48520,14615,19
15000,38342,15501,19
16000,54236,16043,19
17000,55704,18498,19
18000,69623,21005,19
19000,49522,19111,19
20000,58981,20474,19
21000,65983,22420,19
22000,70729,22415,19
23000,82869,23450,19
24000,71519,24849,19
25000,66466,25085,19
26000,68490,26057,19
27000,84787,27594,19
28000,83415,28166,19
