n,c,trial
92400,569,1
92500,747,1
92600,669,1
92700,807,1
92800,411,1
92900,398,1
93000,436,1
93100,968,1
93200,829,1
93300,748,1
93400,770,1
93500,384,1
93600,683,1
93700,265,1
93800,525,1
93900,593,1
94000,909,1
94100,446,1
94200,695,1
94300,864,1
94400,267,1
94500,769,1
94600,13453,1
94700,405,1
94800,393,1
94900,751,1
95000,443,1
95100,375,1
95200,1080,1
95300,499,1
95400,468,1
95500,584,1
95600,600,1
95700,524,1
95800,1448,1
95900,552,1
96000,415,1
96100,592,1
96200,631,1
96300,365,1
96400,579,1
96500,626,1
96600,465,1
96700,416,1
96800,317,1
96900,621,1
97000,545,1
97100,495,1
97200,473,1
97300,643,1
97400,859,1
97500,437,1
97600,928,1
97700,761,1
97800,212,1
97900,332,1
98000,549,1
98100,749,1
98200,675,1
98300,491,1
98400,553,1
98500,745,1
98600,583,1
98700,973,1
98800,388,1
98900,480,1
99000,441,1
99100,598,1
99200,1177,1
99300,388,1
99400,631,1
99500,478,1
99600,558,1
99700,1392,1
99800,564,1
99900,607,1
100000,428,1
100,378,2
200,398,2
300,666,2
400,430,2
500,456,2
600,446,2
700,399,2
800,425,2
900,466,2
1000,371,2
1100,487,2
1200,580,2
1300,1037,2
1400,581,2
1500,497,2
1600,614,2
1700,655,2
1800,666,2
1900,424,2
2000,474,2
2100,364,2
2200,255,2
2300,455,2
2400,545,2
2500,653,2
2600,438,2
2700,552,2
2800,388,2
2900,275,2
3000,346,2
3100,675,2
3200,342,2
3300,407,2
3400,420,2
3500,338,2
3600,357,2
3700,326,2
3800,788,2
3900,375,2
4000,475,2
4100,354,2
4200,835,2
4300,1412,2
4400,447,2
4500,541,2
4600,450,2
4700,331,2
4800,527,2
4900,601,2
5000,718,2
5100,571,2
5200,831,2
5300,466,2
5400,549,2
5500,4413,2
5600,714,2
5700,312,2
5800,567,2
5900,346,2
6000,680,2
6100,433,2
6200,528,2
6300,373,2
6400,450,2
6500,325,2
6600,290,2
6700,783,2
6800,624,2
6900,769,2
7000,1107,2
7100,409,2
7200,495,2
7300,489,2
7400,374,2
7500,688,2
7600,575,2
7700,638,2
7800,560,2
7900,731,2
8000,409,2
8100,963,2
8200,887,2
8300,1036,2
8400,566,2
8500,641,2
8600,555,2
8700,1005,2
8800,766,2
8900,428,2
9000,848,2
9100,554,2
9200,661,2
9300,522,2
9400,1104,2
9500,1061,2
9600,729,2
9700,679,2
9800,827,2
9900,700,2
10000,987,2
10100,417,2
10200,439,2
10300,466,2
10400,499,2
10500,625,2
10600,925,2
10700,1285,2
10800,834,2
10900,499,2
11000,981,2
11100,781,2
11200,575,2
11300,1353,2
11400,833,2
11500,1316,2
11600,442,2
11700,1442,2
11800,497,2
11900,971,2
12000,1450,2
12100,544,2
12200,1661,2
12300,1161,2
12400,598,2
12500,996,2
12600,563,2
12700,782,2
12800,824,2
12900,547,2
13000,734,2
13100,536,2
13200,383,2
13300,437,2
13400,469,2
13500,559,2
13600,592,2
13700,756,2
13800,831,2
13900,682,2
14000,480,2
14100,866,2
14200,979,2
14300,925,2
14400,917,2
14500,732,2
14600,525,2
14700,576,2
14800,781,2
14900,689,2
15000,1100,2
15100,559,2
15200,641,2
15300,908,2
15400,687,2
15500,1259,2
15600,670,2
15700,1165,2
15800,710,2
15900,985,2
16000,602,2
16100,688,2
16200,623,2
16300,897,2
16400,610,2
16500,668,2
16600,527,2
16700,688,2
16800,401,2
16900,455,2
17000,818,2
17100,839,2
17200,540,2
17300,544,2
17400,297,2
17500,940,2
